Walk,Doorway,PF,PE,SF,SE
1,1,N/A,N/A,2:19:20,2:20:35
1,2,N/A,N/A,2:23:72,2:24:30
1,3,2:28:935,2:36:003,N/A,N/A
1,4,5:06:538,05:15:228,5:06:538,5:06:76
1,4,N/A,N/A,5:09:20,5:10:38
1,5,7:26:077,7:38:483,N/A,N/A
1,6,8:04:026,8:12:007,N/A,N/A
1,7,8:28:211,8:44:351,N/A,N/A
1,8,8:48:285,8:57:511,N/A,N/A
1,9,9:18:784,9:24:363,9:18:784,9:20:71
1,10,9:36:854,9:44:306,9:36:854,9:38:85
1,11,10:08:370,10:14:871,10:08:370,10:10:34
1,11,N/A,N/A,10:08:370,10:11:96
1,11,N/A,N/A,10:08:370,10:12:93
1,12,10:43:615,10:48:465,N/A,N/A
1,13,15:24:855,15:43:344,N/A,N/A
1,14,15:50:532,15:54:934,N/A,N/A
2,3,1:32:834,1:39:332,N/A,N/A
2,4,4:05:727,4:23:560,N/A,N/A
2,5,6:58:067,7:07:391,N/A,N/A
2,6,7:34:666,7:41:805,N/A,N/A
2,7,8:02:997,8:14:823,N/A,N/A
2,8,8:19:249,8:26:693,N/A,N/A
2,9,8:48:164,8:54:675,N/A,N/A
2,10,9:05:011,9:12:502,N/A,N/A
2,11,9:39:649,9:47:553,N/A,N/A
2,12,10:19:741,10:23:776,N/A,N/A
2,13,15:01:257,5:12:527,N/A,N/A
2,14,15:17:442,15:22:390,N/A,N/A
3,3,3:30:02,3:34:28,N/A,N/A
3,4,6:01:940,6:12:864,N/A,N/A
3,5,8:34:890,8:41:673,N/A,N/A
3,6,9:09:986,9:16:925,N/A,N/A
3,7,9:29:777,9:52:205,N/A,N/A
3,8,9:59:296,10:05:562,N/A,N/A
3,9,10:12:528,10:32:835,10:12:528,10:24:19
3,10,10:47:276,10:51:037,N/A,N/A
3,11,11:16:710,11:27:448,N/A,N/A
3,12,11:57:014,12:05:084,N/A,N/A
3,13,16:38:249,16:51:106,N/A,N/A
3,14,16:51:589,17:03:706,N/A,N/A
